Category,Antecedents ID,Antecedents Names,Consequents IDS,Consequents Names,Confidence
Videos,"0788802194, 0788812408, 0788812807","Cinderella [VHS], The Little Mermaid [VHS], Lady and the Tramp [VHS]","6304401132, 0788805533, 0788806270","Sleeping Beauty [VHS], The Lion King II [VHS], Bambi [VHS]",1
Videos,"0788812408, 155890641X, 0788802194, 6304401132, 0788812807","The Little Mermaid [VHS], Snow White and the Seven Dwarfs [VHS], Cinderella [VHS],  Sleeping Beauty [VHS], Lady and the Tramp [VHS]",6300274195,Dumbo [VHS],1
Music,"B007ZRZWOA, B001BKVWYG","Searching For Sugar Man, Cold Fact",B001TCHDPS,Coming from Reality,0.815384615
Music,"B003GAMPWM, B009G7ZYPY, B00F0O8SZK","Susan Boyle - The Gift, Susan Boyle - Standing Ovation,  Susan Boyle - Home for Christmas ",B005G618JU,Susan Boyle - Someone To Watch Over Me ,0.8
Video Games,"B00BGA9X9W, B00JK00S0S","DualShock 4 Wireless Controller for PlayStation 4 - Jet Black, PlayStation 4 500GB Console",B00BGA9WK2,PlayStation 4 500GB Console,0.551724138
Video Games,"B00BGA9X9W, B00BI83EVU","DualShock 4 Wireless Controller for PlayStation 4 - Jet Black, Watch Dogs - PlayStation 4",B00BGA9WK2,PlayStation 4 500GB Console,0.523809524
Watches,"B004P0UUE2, B005KKLEWS","XOXO Women's XO5302A Rhinestone-Accented Gold-Tone Bracelet Watch, XOXO Women's XO5429 Rhinestone-Accented Two-Tone Bracelet Watch",B004P0UUBK,XOXO Women's XO5301A Rhinestone-Accented Silver-Tone Bracelet Watch,0.444444444
Watches,"B003EKIS4S, B003EKNMAI","U.S. Polo Assn. Sport Men's US8170 Black and Gunmetal-Tone Bracelet Watch, U.S. Polo Assn. Sport Men's US9057 Black Metal Watch with Orange Rubber Band",B008D902Q2,U.S. Polo Assn. Sport Men's US9061 Watch with Black Rubber Strap Watch,0.428571429
Office Products,B007VBXB48,"Scotch Thermal Laminating Pouches, 100-Pack, 8.9 x 11.4 Inches, Letter Size Sheets (TP3854-100)",B0010JEJPC,"Scotch Thermal Laminator, 2 Roller System for a Professional Finish, Use for Home, Office or School, Suitable for use with Photos (TL901X)",0.428223844
Office Products,"B003H2GBM4, B00CIDQ470","HP 61 | Ink Cartridge | Black , HP Envy 4500 Wireless All-in-One Color Photo Printer",B003YT6RNS,"HP 61 | 2 Ink Cartridges | Black, Tri-color ",0.390625
Apparel,B00817DYUM,Fruit of the Loom Men's Pocket Crew Neck Multipack,B00817DZWO,Fruit of the Loom Men's Pocket Crew Neck T-Shirt (Pack of 4),0.182432432
Personal Care Appliances,B004O25RM6,doTERRA - White Fir Essential Oil,B004O25RJ4,doTERRA - Rosemary Essential Oil - 15 Ml,0.161290323
Furniture,B004UMDLPK,"Furinno Coffee Table with Bins, Espresso/Brown",B004UME2PS,"Furinno End Table Bedroom Night Stand w/Bin Drawer, Espresso/Brown",0.126279863
Furniture,B006MIPW70,"ZINUS SmartBase Zero Assembly Mattress Foundation / 14 Inch Metal Platform Bed Frame / No Box Spring Needed / Sturdy Steel Frame / Underbed Storage, Twin",B004LQ1RJ2,"Signature Sleep Contour 8"" Reversible Mattress, Independently Encased Coils, Bed-in-a-Box, Twin",0.113157895
Personal Care Appliances,B004O23YE4,doTERRA - DigestZen Essential Oil Digestive Blend - 15 mL,B004O276PW,doTERRA - PastTense Essential Oil,0.088235294
Apparel,B0083QLPY8,Maidenform Women's Two-Hook 3/4 Inch Bra Extender,B0083QLQ0G,Maidenform Women's Three-Hook Bra Extender,0.084699454
