,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,46387114,R26RZ3C5VL3H5W,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Very comfortable and easy to set up.,8/31/2015
1,US,44581842,R2A498KG3CWVC3,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,1,1,N,N,Cannot Recommend,"This airmatress does not hold air. The first night I used it I was nearly on the ground in an airmatress taco halfway through the night. This is after having inflated it early in the day to allow the vinyl to &#34;relax&#34;, per the instructions. I topped off the air before going to bed but still went flat. Because I bought the thing right before traveling, I didn't have time to get a new one so I used it more than once (waking up every few hours to inflate). Don't buy this. Based on the reviews some people get a good product, but not me.",8/31/2015
2,US,32473989,R33Z46RRJXS3O7,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Good product Great quality,8/31/2015
3,US,7668480,R1W6FG4HPA0K6C,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,Super comfortable!!! I am 6 months pregnant and sleep great on it while camping,8/31/2015
4,US,2368997,R3JTF0SET2BV4Y,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,good,8/31/2015
5,US,18058018,R3F9612FGI1Z7J,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Nice air mattress,"Nice air mattress, and fast delivery. Just hope this one doesn't leak air like the same model Intex I bought few years ago.",8/31/2015
6,US,12475486,R32QY0RIV9431Y,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,and the mattress slept great! Hopefully I will get plenty more use out ...,"I've already used it twice, and the mattress slept great! Hopefully I will get plenty more use out of it.",8/30/2015
7,US,21029830,RYQ2Z9ZLMS0UU,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,... but they served there purpose and worked out just fine for the price and delivery,Thought they were thicker and higher off the ground but they served there purpose and worked out just fine for the price and delivery. Better than going to the store and trying to find them!,8/30/2015
8,US,35573763,R33S8HEPGT46PA,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,5,0,0,N,Y,Five Stars,"Best extra bed, easy storage and comfortable to sleep on.",8/30/2015
9,US,599402,RUP59IEO70M9T,B000M0MJU2,805416447,"Intex Raised Downy Airbed with Built-in Electric Pump, Queen, Bed Height 22""",Outdoors,1,0,0,N,Y,I love this but it want stay air up for some ...,I love this but it want stay air up for some reason i really want to resend this back,8/30/2015
